;Nome ;CEP;
392;CM Locação de bomba e concreto usinado 🚧;;
393;Concreto Usinado e Locação;;
394;Robemix Concreto Ltda;;
395;CM_Concretos Mix;;
396;Rondomac;;
397;R.B.J concreto;;
398;MultiMix Concretos;;
399;Só Rolos Locações;83020-840;
400;EMACO ENGENHARIA DE MAQUINAS DO CONCRETO;83035-030;
401;Concretize;;
402;N&F Concretagem e Construções;;
403;CONCRETO USINADO;;
404;Northmix Bombas;02726-150;
405;EUROTERRAPLANAGEM;;
406;Eco-X;;
407;JGR Construção & Engenharia Profissional;;
408;CMix Concreto;;
409;Concreteira santa helena;;
410;brasilia Concreto Usinado Df;;
411;M&G Asfaltos;35.184-034;
412;;;
413;Basemix Concretos;00008-500;
414;AGMIXCONCRETO;;
415;Campmix Concreto Usinado;13033-325;
416;Concretti Concreto;;
417;Concreto Bombeado em 10x;22710-255;
418;BAS PAV CONSTRUTORA;;
419;BRITAX Concreteira e Pedreira;36.325-000;
420;𝗖𝗢𝗡𝗖𝗥𝗘𝗧𝗔 𝗙𝗢𝗥𝗧𝗘;;
421;Hipermix - Filial de Curitiba;83413-560;
422;Terra Concreto Jaguariúna;13820-000;
423;COESO Concreto Estrutura Obras;76980-000;
424;Engap Concreto Projetado;38200-000;
425;JKS MIX Concreto;18260-000;
426;Regional Concreto;14340-000;
427;LONDRIMASSA CONCRETO;;
428;Neumix São Bento do Sul;;
429;Concre ABC;86.066-230;
430;;;
431;Concrefacil;;
432;INTECH - Concreto e Argamassa;;
433;Concreto Já;;
434;RondoMix;;
435;Concretos CBR;;
436;Eng. Luan Kêndiner;;
437;Léo Mix;;
438;Aplipav;;
439;Pavieco Asfalto Sustentável;65054-040;
440;Hiper Concreto;;
441;Brahmix Concreteira;;
442;Concrelit®;11630-000;
443;Concreto Monaco;;
444;TERCONPAV;;
445;Construtora Santos & Paganelly;64.760-000;
446;WM concreto usinado;;
447;serafim locações;;
448;CONCRETO•COM;29158-200;
449;Queiroz Concreto;;
450;Brita mix;;
451;Unamix Arinos;;
452;INFRAESTRUTURA RODOVIÁRIA;;
453;Luke Concreto;;
454;MRA - PAVIMENTAÇÃO;;
455;REDIMIXPE;;
456;Fenix Mix Concreto;35860-000;
457;Camerro Pré-Fabricados;13457-172;
458;Frota Construções;;
459;Concreferres;16700-000;
460;Cimel Engenharia;78301-522;
461;Lança Concreto - Lucas Cruz;;
462;GRUPO FM;;
463;Arquitetura, Construção e Pavimentação;07082-530;
464;Tubos de Concreto | Saneamento;17539-050;
465;FORTMIX CONCRETO;08693-010;
466;Concrevale Concretos;;
467;ALUGUEL DE EQUIPAMENTOS;88110-695;
468;ROCA concretos;;
469;Souza Brito engenharia em instalações;;
470;Concreteira e Pré-Moldados;;
471;Barrafort Concreto | Empresa;;
472;Fabio S Pereira;;
473;Prime Concreto;;
474;Astmix Concretos;86730-000;
475;Serrano Concreto;;
476;Concrecharq  Concreto;;
477;Unibeton Concreto;07232-151;
478;Brumaq Locações;;
479;Concreto Carmelitano;;
480;R&A Concreto e Aço;86730-000;
481;CreteBeater®- Concrete Remover;;
482;Concreto Usinado;;
483;Concreto Amazonmix;;
484;Zanon Pedras e Concretos;36844-000;
485;Maquipav Construções;;
486;BRMIX Concretos;;
487;ULTRAMAR CONCRETO;;
488;Grandmix concretos e pisos;;
489;𝐓𝐨𝐭𝐚𝐥𝐦𝐢𝐱 𝐂𝐨𝐧𝐜𝐫𝐞𝐭𝐨𝐬;;
490;Concretmais Vila Nova;35.931-073;
491;Grupo Schumann;;
492;Paviforte Engenharia;;
493;Porto Branco;;
494;pavimentos;;
495;Concre log;;
496;JR Pavimentação;;
497;3M SILVA LOCADORA;83005-300;
498;Grupo São Domingos 🚧;37072-020;
499;CONSTRUMIX CONCRETO USINADO;;
500;FDNORTE;;
501;Construtora Terra Santa;;
502;Concretmais Manhuaçu;;
503;Pav K;13251-460;
504;CONCREAÇO;08987-200;
505;O Jovem Concreteiro🇧🇷;;
506;;;
507;🔺TerraminasMix;38706-336;
508;Ibimix Concreto Oficial;;
509;GoldMix Concretos;;
510;Matieli Mix;18103-555;
511;Jovandro Lima Concrecharq;;
512;Da Rocha Mix Concreto;;
513;Josimar Gonçalves;;
514;PavFran Soluções e Negócios;;
515;Morais Concreto;;
516;Alfa Mix Concreto;;
517;Susmix Concreto e Argamassa;;
518;Líder & MB Mix Concreto;45609-000;
519;Concretomix 9000;;
520;Serviço de concretagem;;
521;Qualicreto;;
522;CONCREMAR PB LAJES E CONCRETO;;
523;Premocon Premoldados Nunes;;
524;Concremassa;14820-000;
525;Grupo Cantieri;37950-000;
526;Domingos Neto;;
527;rcobrasil;;
528;Concreto FEI;;
529;Santiago Concretos;;
530;Calmix Preparação de Argamassa e Concreto 🇧🇷;;
531;NakiMix;08735-285;
532;VN Artefatos de Concreto;78180-000;
533;Concremar Concreto;58500-000;
534;Tw Terraplanagem;;
535;concreuni;;
536;Engecreto;;
537;CONCREMIX;;
538;Horizonte Pavimentação;;
539;Pavisul Engenharia;;
540;𝐏𝐀𝐕𝐓𝐄𝐂𝐊 𝐀𝐒𝐅𝐀𝐋𝐓𝐎𝐒;;
541;Concrexap São Miguel do Oeste;;
542;Ari Funilaria e Pintura;;
543;ALFA PAVIMENTAÇÃO | Serviços em Asfalto;;
544;Techmix;53620-805;
545;Verc Concretos;;
546;FDMIX CONCRETO;;
547;TOTAL PAV;;
548;Engepav Engenharia;;
549;Bilumix Concreto e Argamassa;;
550;Concre Chap;;
551;SARMIX CONCRETO LTDA;72872-457;
552;CONCRECEC Concreto Usinado;;
553;CSS Rental;34006-053;
554;OBRAGEN;;
555;Concreto Salinas;;
556;Mundo Mix;;
557;Concretos Knapp;89887-000;
558;;;
559;Cimento Holcim;;
560;𝑪𝒐𝒏𝒄𝒓𝒆𝒕𝒎𝒊𝒙 | em Januária e Montes Claros-MG;39480-000;
561;Gruppi Concreto;18605-507;
562;Maxi Concreto;;
563;CONCREBETON | CONCRETO E ARGAMASSA;;
564;Valloc locação transportes e serviços;05224-010;
565;BOX PAVER Cifali;94935-225;
566;SITI EQUIPAMENTOS;13848-315;
567;Paganini Construções;78559-970;
568;PRÉ-MOLDADOS;74735-510;
569;M&M LOCAÇÕES;;
570;BMP MIX Concreteira 🚀;;
571;Pavitec Construtora Pavimentora & Terraplanagem;;
572;Silvacreto 🇲🇽;00053-489;
573;Moraes Concreto;88337-090;
574;City Mix;35790-000;
575;DEMAMIX - Unidade Laranjeiras;85303-520;
576;BetonForm LTDA;;
577;ConcretoUsinado.com.br;;
578;Cercon Concreto e Locações;;
579;Concreto Eng. de Concretos;;
580;Chamix Concreto;88370-888;
581;Neomix Concreto;14140-000;
582;;;
583;Grupo Coelho Concreto;;
584;CVMIX Concreto e Pré Moldados;49400-000;
585;Solodimix AGV;09990-155;
586;HT LOCAÇÃO E CONSTRUÇÃO;;
587;RJ Concreto;17605-540;
588;Potiguarmix;58600-000;
589;Usinorte Empreendimentos LTDA;;
590;Sondex Equipamentos;36400-255;
591;SOBRATEMA;05001-000;
592;Fortmix Concreto;;
593;Faz Betom Concreto Ltda;;
594;Unamix Concreto;;
595;UBEMIX CONCRETO;;
596;CONCRETO USINADO;;
597;;;
598;Concrexap;;
599;UNAMIX Paracatu, Minas Gerais;;
600;STORM BLOCOS E PRÉ-MOLDADOS;;
601;Concreteira Maionchi;;
602;VHC Pavimentações;;
603;Tolemix Concreto;;
604;SP Premoldados;45810-000;
605;Ricardo Pimentel;;
606;Pavimix DF | Terraplanagem | Bloquetes | Meio-fio;;
607;𝗖𝗢𝗡𝗖𝗥𝗘𝗖𝗘𝗥𝗧𝗢 | 𝗖𝗢𝗡𝗖𝗥𝗘𝗟𝗔𝗝𝗘;;
608;ITAQMIX CONCRETO E TRANSPORTE;65143-000;
609;Topcon;;
610;Hipertex Concreto;;
611;Concretovale;;
612;Novamix Imbituba;;
613;Edimar Moreira;;
614;Estrada Engenheira Viária;89057-205;
615;Grupo Camp;;
616;Premix Concreto;;
617;Concreto Usinado;;
618;CONCREBOM;;
619;Líder Mix Concreto;45700-000;
620;Cemare Drenagem e Pré-Moldados;;
621;tratortec;;
622;Fênix Asfaltos;;
623;Aramix Engenharia de Concreto Ltda;14175-332;
624;Amapamix;;
625;ENGETMIX;;
626;Grupo Falchetti;88702-803;
627;JB Concretos;;
628;concrelaje;;
629;MS Locações Munck e Guindaste;19031-780;
630;Gino Concreto;;
631;Concreto Promix;;
632;Udimix Concreto Ltda.;75.515-370;
633;Usimix Concreto Usinado;;
634;;;
635;LLA Const. e Pavimentações;;
636;SOLO MIX CONCRETO USINADO;;
637;Big Concreto;;
638;Concremil Concreto Usinado;78555-018;
639;ConstruMix Concreto Usinado 🤝🏻;;
640;CONCRE DF;;
641;Concreteira Terra Mogi Guaçu;;
642;Usina concremar paraiba;;
643;Fortmix Concreto;25245-000;
644;ACTMIX INDÚSTRIA DE ARGAMASSA;;
645;Maismix Concreto Usinado;14176-150;
646;Paraty Mix Concreteira;;
647;Arconcret;;
648;LIC concretos;;
649;Cristalmix Concretos Usinados;38600-000;
650;Levemix Concreto;;
651;Grupo JMR;;
652;MG MIX - Concreto;32145-480;
653;AVR Pré-Moldados;;
654;Ricardo Melo;;
655;Concre-rio;;
656;Asphaltech;506640-015;
657;TASSIUS LAGOMIX;;
658;TransBrito Transportes;;
659;Centerlub Distribuidora;56306-610;
660;Britasinos concretos;93700-000;
661;Neumix - Soluções em Concreto e Argamassa;89650-000;
662;Grupo Convicta;83055-530;
663;Concrecon Concreto e Construção LTDA;;
664;Sermix Concreto e Argamassa;;
665;ConcreABC Concreto e Argamassa;;
666;Jm Terraplanagem;;
667;Top Minas Mix;;
668;Artefatos Cimento Rio Branco;93700-000;
669;Solo Novo Concreto;38402-324;
670;BaseMix | Concreto e Argamassa;89640-000;
671;Paviterra Terraplenagem;;
672;Construtora Cepavi;12946-895;
673;Usimassa Concreto e Argamassa;;
674;BIG MIX;;
675;Beton Mix Concreto;89172-000;
676;Reis Bombeamento de Concreto;;
677;Concretos Roca;;
678;CONSPAV PAVIMENTAÇÃO;;
679;SUPERFORTE CONCRETOS UBERABA;;
680;TN Concreto Bombeado;;
681;Asfalto Novo;;
682;Concretec Concretos;;
683;Brasmix S/A;;
684;Southern Cal;;
685;JRC PAVIMENTAÇÕES E CONSULTORIA;86601-534;
686;LEBI MIX | CONCRETEIRA 👷🏻‍♂️;86800-060;
687;Concreto Usinado;49160-000;
688;Concrereti Paulinia/Bragança;;
689;ConcreMinas;;
690;Deltamix Concretos;;
691;Hobimix Concreto e Argamassa;83413-120;
692;Argajunckes Argamassa;88200-000;
693;FABMIX Concretos e Construcões;26052-530;
694;Portal da Engenharia Civil;;
695;PREMOL ®️;40810-010;
696;CBR - Concreteira Belford Roxo;;
697;ModernaPavers;;
698;Josan Mix;13612-410;
699;Concrepark Art Cimento;89990-000;
700;Concrecon Concreto e Construções;;
701;Concreto;75520-375;
702;Lenobetão Brasil;;
703;CONCRENORTE MIX;;
704;Anamix - Argamassas Especiais;75132-400;
705;Marcomix Concreto;;
706;CONCRETEC TECNOLOGIA DO CONCRETO;;
707;MAQSUL Betoneiras e Andaimes;94853-250;
708;Geopaving Engenharia;02945-120;
709;Diego Prado (11)9.9762-5382;;
710;GRMIX - Argamassas e Concretos;84052-195;
711;Ultracom Asfaltos;11930-000;
712;Jereissati Alphaville;;
713;Itamix Concreto & Bomba;;
714;Lajes Primer Concreto Usinado;72610-320;
715;Imperium Soluções Cimentícias;35304-210;
716;Super Concreto Ltda.;32371-615;
717;Portal Blocos de Concreto;13280-000;
718;Gamamix Concretos®;78898-103;
719;Fênix Const. E Pavim.;;
720;Lançamix Bombeamento;;
721;GRUPO LONDRIBAZA;;
722;concrefild;08260-270;
723;SudestePav Pavimentação;14720-000;
724;JKM Terraplenagem e Construções;;
725;MBM Mestre Das Bombas;13054-792;
726;Betânia Mix;;
727;YMA Pavimentação;;
728;Comix Concreto;;
729;Betemix M. Caminhões Betoneira;14175-332;
730;MPS MIX CONCRETEIRA Santarém;;
731;Concrecon Concreto e Construção Ltda;75905-055;
732;Meritus Agro;;
733;a3 Industrias de Estruturas Pré moldadas Ltda;;
734;Neobloco Blocos de Concreto;79042-010;
735;Kica concretepumping;;
736;𝐏𝐑𝐄́-𝐌𝐎𝐋𝐃𝐀𝐃𝐎𝐒 𝐍𝐎𝐑𝐎𝐄𝐒𝐓𝐄;;
737;ARTEFATOS CAMANDUCAIA;13830-000;
738;Dameda | Fundações;69041-010;
