"Is_Highlight","Object_Begin_Date","Tags","Dimensions","Is_Sculpture","area/volume"
"False",1923,"Trees","20.3 x 54.6",FALSE,1108.38
"False",1900,"Human Figures|Houses|Trees","18.6 x 52.7",FALSE,980.22
"False",1921,"Trees","17.8 x 49.8",FALSE,886.44
"False",1921,"Human Figures|Lions|Snow","37.8 x 23.5",FALSE,888.3
"False",1900,"Praying","177.2 x 46",FALSE,8151.2
"False",1927,"Landscapes|Trees","18.1 x 51.1",FALSE,924.91
"False",1935,"Mountains","18.6 x 51.3",FALSE,954.18
"False",1900,"Lotuses","19.4 x 57.8",FALSE,1121.32
"False",1936,"Ducks","18.7 x 50.2",FALSE,938.74
"False",1934,"Landscapes|Trees","18.4 x 52.4",FALSE,964.16
"False",1932,"Landscapes","19.1 x 54.6",FALSE,1042.86
"False",1940,"Women","18.1 x 51.8",FALSE,937.58
"False",1953,"Landscapes","15.7 x 51.4",FALSE,806.98
"False",1939,"Fruit|Trees","18.1 x 51.4",FALSE,930.34
"False",1925,"Mountains|Landscapes","55.9 x 41.9",FALSE,2342.21
"False",1948,"Insects|Flowers","31.8 x 35.6",FALSE,1132.08
"False",1900,"Landscapes","104.1 x 54.6",FALSE,5683.86
"False",1900,"Crabs","134 x 33.8",FALSE,4529.2
"False",1927,"Buffalos","135.3 x 33.7",FALSE,4559.61
"False",1935,"Buffalos|Trees","87.2 x 27.9",FALSE,2432.88
"False",1900,"Rabbits","21.7 x 46.5",FALSE,1009.05
"False",1940,"Crabs|Fish|Frogs|Lobsters","65.4 x 15.2",FALSE,994.08
"False",1943,"Insects|Plants","25.7 x 34.3",FALSE,881.51
"False",1945,"Plants","17.5 x 49.5",FALSE,866.25
"False",1900,"Flowers","18.4 x 49.5",FALSE,910.8
"False",1900,"Women","19.2 x 53.5",FALSE,1027.2
"False",1934,"Birds","19.4 x 54.3",FALSE,1053.42
"False",1941,"Fish","18.4 x 50.8",FALSE,934.72
"False",1939,"Mountains|Landscapes","18.2 x 73.7",FALSE,1341.34
"False",1900,"Landscapes","18.1 x 51.3",FALSE,928.53
"False",1930,"Mountains","18.4 x 50.8",FALSE,934.72
"False",1961,"Landscapes","19.7 x 54.5",FALSE,1073.65
"False",1904,"Men|Forests","106.5 x 45.7",FALSE,4867.05
"False",1920,"Landscapes","21.1 x 70.2",FALSE,1481.22
"False",1900,"Landscapes|Trees","18.6 x 51.4",FALSE,956.04
"False",1900,"Lotuses","17.9 x 50.8",FALSE,909.32
"False",1945,"Bamboo","18.4 x 50.8",FALSE,934.72
"False",1942,"Bamboo",NA,FALSE,NA
"False",1900,"Moon|Trees","30.5 x 45.4",FALSE,1384.7
"False",1957,"Lotuses","18.7 x 50.2",FALSE,938.74
"False",1943,"Fruit","27",FALSE,27
"False",1942,"Mountains|Landscapes","17.8 x 51.1",FALSE,909.58
"False",1927,"Horses|Trees","18.1 x 50.8",FALSE,919.48
"False",1926,"Horses|Trees","18.9 x 53.0",FALSE,1001.7
"False",1900,"Trees","17.9 x 51.3",FALSE,918.27
"False",1900,"Birds|Lotuses|Plants","17.8 x 51",FALSE,907.8
"False",1932,"Mountains","22.9 x 70.5",FALSE,1614.45
"False",1943,"Flowers","18.7 x 51.4",FALSE,961.18
"False",1937,"Houses|Men|Boats","65.7 x 32.7",FALSE,2148.39
"False",1943,"Men","59.1 x 36.2",FALSE,2139.42
"False",1900,"Cats","18.1 x 50.8",FALSE,919.48
"False",1978,"Insects","18.3 x 56.5",FALSE,1033.95
"False",1947,"Autumn","17.8 x 51.1",FALSE,909.58
"False",1900,"Landscapes","17.5 x 49.5",FALSE,866.25
"False",1938,"Birds|Vegetables|Insects|Flowers","21.9 x 35.9",FALSE,786.21
"False",1979,"Birds","66 x 131.4",FALSE,8672.4
"False",1972,"Flowers|Plants","43 x 820.1",FALSE,35264.3
"False",1900,"Crabs","28.6 x 40.6",FALSE,1161.16
"False",1975,"Landscapes","28.9 x 41.0",FALSE,1184.9
"False",1939,"Landscapes","18.4 x 51.6",FALSE,949.44
"False",1904,"Landscapes","19.7 x 54.6",FALSE,1075.62
"False",1960,"Female Nudes","71.1 x 81.3",FALSE,5780.43
"False",1975,"Women","68.6 x 65.4",FALSE,4486.44
"False",1960,"Flowers|Plants","61 x 69.2",FALSE,4221.2
"False",1900,"Human Figures|Weapons","31.1 x 29.8",FALSE,926.78
"False",1982,"Dragonflies","30.8 x 66.7",FALSE,2054.36
"False",1943,"Flowers","36.2 x 47",FALSE,1701.4
"False",1906,"Mountains","17.8 x 51.1",FALSE,909.58
"False",1960,"Men|Buffalos|Autumn","69.5 x 46.4",FALSE,3224.8
"False",1907,"Boys|Buffalos","29.2 x 45.7",FALSE,1334.44
"False",1907,"Boys|Buffalos","34.9 x 40.6",FALSE,1416.94
"False",1946,"Animals","28.6 x 32.7",FALSE,935.22
"False",1947,"Animals","24.8 x 38.7",FALSE,959.76
"False",1947,"Camels","30.5 x 34.3",FALSE,1046.15
"False",1978,"Trees","18.3 x 56.2",FALSE,1028.46
"False",1975,"Mountains|Trees","28.6 x 40.6",FALSE,1161.16
"False",1980,"Landscapes|Waterfalls","55.2 x 114.9",FALSE,6342.48
"False",1932,"Fruit|Insects","18.1 x 49.5",FALSE,895.95
"False",1976,"Peonies|Leaves","28.6 x 41.0",FALSE,1172.6
"False",1978,"Mountains","19.7 x 54.6",FALSE,1075.62
"False",1910,"Birds|Leaves","59.7 x 48.9",FALSE,2919.33
"False",1975,"Flowers","28.9 x 41.0",FALSE,1184.9
"False",1946,"Grapes|Squirrels","18.1 x 51.3",FALSE,928.53
"False",1978,"Landscapes","18.1 x 52.1",FALSE,943.01
"False",1942,"Landscapes","18.7 x 50.8",FALSE,949.96
"False",1912,"Streams|Mountains","17.0 x 49.2",FALSE,836.4
"False",1918,"Horses|Forests|Autumn","19.1 x 53.3",FALSE,1018.03
"False",1916,"Mountains","18.6 x 52.4",FALSE,974.64
"False",1977,"Seascapes","96.5 x 115.3",FALSE,11126.45
"False",1963,"Girls|Roosters","17.1 x 48.3",FALSE,825.93
"False",1978,"Human Figures|Animals|Flowers|Trees","12.4 x 35.6",FALSE,441.44
"False",1925,"Donkeys","133.3 x 67.6",FALSE,9011.08
"False",1979,"Swords|Men","136.5 x 68.6",FALSE,9363.9
"False",1300,"Tigers","80.5 x 40.3",FALSE,3244.15
"False",1300,"Dragons","80.5 x 40.3",FALSE,3244.15
"False",1757,"Flowers|Trees","25.4 x 29.8",FALSE,756.92
"False",1684,"Men|Landscapes","58 x 136.8",FALSE,7934.4
"False",1688,"Landscapes","26 x 19.1",FALSE,496.6
"False",1644,"Landscapes","15.4 x 22.9",FALSE,352.66
"False",1290,"Ducks|Lotuses","141.6 x 67.9",FALSE,9614.64
"False",1900,"Landscapes|Trees","26.4 x 24.4",FALSE,644.16
"True",1330,"Bodhisattvas|Buddha","22.9 x 11.4",FALSE,261.06
"False",1649,"Landscapes","155.9 x 52.1",FALSE,8122.39
"True",1500,"Grapes","87.6 x 48.3",FALSE,4231.08
"False",1334,"Peacocks|Flowers","169.9 x 102.2",FALSE,17363.78
"False",1883,"Men","171.8 x 93.3",FALSE,16028.94
"False",1673,"Rivers|Boats|Landscapes","134.6 x 59.1",FALSE,7954.86
"False",1619,"Plants","17.8 x 17.8",FALSE,316.84
"False",1600,"Birds|Men|Flowers|Landscapes","22.2 x 21.7",FALSE,481.74
"True",1100,"Ganesha","64.8",FALSE,64.8
"False",100,"Gandhara","1.6 x 2.7",FALSE,4.32
"False",700,"Buddhism|Buddha","17.7",FALSE,17.7
"False",800,"Bodhisattvas|Buddhism|Vajrapani","5",FALSE,5
"False",1000,"Deities|Buddhism","16.5",FALSE,16.5
"False",450,"Gandhara","43.5",FALSE,43.5
"False",500,"Swans|Post-Gupta","31.8 x 27.9 x 7.6",TRUE,6742.872
"False",1000,"Serpents|Vishnu|Hinduism","4.4 x 5.1",FALSE,22.44
"False",850,"Krishna","39.2",FALSE,39.2
"False",1600,"Bodhisattvas|Buddhism","21",FALSE,21
"False",-510,"Male Nudes","13.7 x 8.9",FALSE,121.93
"False",-50,"Elephants|Horses|Lions|Shunga","10",FALSE,10
"False",1,"Shunga","7",FALSE,7
"False",1600,"Men|Buddhism","19.1",FALSE,19.1
"False",1,"Gandhara","8.9",FALSE,8.9
"False",150,"Gandhara","10.8",FALSE,10.8
"False",400,"Gandhara","8.3",FALSE,8.3
"False",350,"Gandhara|Animals","6",FALSE,6
"False",200,"Early Andhra|Goddess","19.7",FALSE,19.7
"False",1700,"Goddess|Hinduism","16.5",FALSE,16.5
"False",1700,"Buddhism|Buddha","3.18 x 7.8",FALSE,24.804
"False",1400,"Buddhism","22.9 x 17.8",FALSE,407.62
