"Is_Highlight","Object_Begin_Date","Tags","Dimensions","Is_Sculpture","area/volume"
"False",1573,"Men","72.4 x 58.4",FALSE,4228.16
"False",1573,"Horses","72.4 x 58.4",FALSE,4228.16
"False",1300,"Portraits","78.7 x 38.1",FALSE,2998.47
"False",1300,"Women","78.7 x 38.1",FALSE,2998.47
"False",1300,"Dragons","44.8 x 190.8",FALSE,8547.84
"False",1300,"Trees","44.8 x 190.8",FALSE,8547.84
"False",1700,"Birds","17.9 x 26",FALSE,465.4
"False",1100,"Bodhisattvas","52.7 x 16.5 x 16.5",TRUE,14347.575
"False",1100,"Buddhism","52.7 x 16.5 x 16.5",TRUE,14347.575
"False",1100,"Avalokiteshvara","52.7 x 16.5 x 16.5",TRUE,14347.575
"False",1741,"Landscapes","3.7 x 4.4",FALSE,16.28
"False",1700,"Landscapes","29.8 x 1004.6",FALSE,29937.08
"False",1700,"Rivers","29.8 x 1004.6",FALSE,29937.08
"False",1700,"Boats","29.8 x 1004.6",FALSE,29937.08
"False",1600,"Landscapes","28.4 x 194",FALSE,5509.6
"False",1600,"Streams","28.4 x 194",FALSE,5509.6
"False",1600,"Mountains","28.4 x 194",FALSE,5509.6
"False",1416,"Ducks","156.5 x 87.9",FALSE,13756.35
"False",1400,"Vegetables","110.2 x 46.7",FALSE,5146.34
"False",1200,"Men","24.8 x 25.2",FALSE,624.96
"False",1200,"Caves","24.8 x 25.2",FALSE,624.96
"False",1200,"Trees","24.8 x 25.2",FALSE,624.96
"False",1271,"Landscapes","24.8 x 25.4",FALSE,629.92
"False",1271,"Cranes","24.8 x 25.4",FALSE,629.92
"False",1500,"Landscapes","154.0 x 87.9",FALSE,13536.6
"False",1500,"Birds","154.0 x 87.9",FALSE,13536.6
"False",1226,"Landscapes","25.2 x 26",FALSE,655.2
"False",1226,"Trees","25.2 x 26",FALSE,655.2
"False",1271,"Landscapes","24.4 x 26",FALSE,634.4
"False",1271,"Storms","24.4 x 26",FALSE,634.4
"False",1271,"Boats","24.4 x 26",FALSE,634.4
"False",1345,"Men","128 x 62.2",FALSE,7961.6
"False",1345,"Tigers","128 x 62.2",FALSE,7961.6
"False",1532,"Trees","172.1 x 94.3",FALSE,16229.03
"False",1700,"Butterflies","27.9 x 248.9",FALSE,6944.31
"False",1700,"Flowers","27.9 x 248.9",FALSE,6944.31
"False",1800,"Rivers","30.8 x 475.3",FALSE,14639.24
"False",1800,"Landscapes","30.8 x 475.3",FALSE,14639.24
"False",1800,"Boats","30.8 x 475.3",FALSE,14639.24
"False",1470,"Sleeping","20.3 x 61.6",FALSE,1250.48
"False",1470,"Women","20.3 x 61.6",FALSE,1250.48
"False",1200,"Geese","31.4 x 28",FALSE,879.2
"False",1200,"Mountains","24.1 x 24.8",FALSE,597.68
"False",1200,"Landscapes","24.1 x 24.8",FALSE,597.68
"False",1900,"Emperors","28.3 x 22.2",FALSE,628.26
"False",1900,"Men","28.3 x 22.2",FALSE,628.26
"False",1900,"Portraits","28.3 x 22.2",FALSE,628.26
"False",1667,"Bodhisattvas","207.6 x 97.8",FALSE,20303.28
"False",1667,"Lions","207.6 x 97.8",FALSE,20303.28
"False",1667,"Buddhism","207.6 x 97.8",FALSE,20303.28
"False",1350,"Mountains","25.9 x 219.1",FALSE,5674.69
"False",1350,"Landscapes","25.9 x 219.1",FALSE,5674.69
"False",1600,"Landscapes","23.2 x 177.2",FALSE,4111.04
"False",1600,"Mountains","23.2 x 177.2",FALSE,4111.04
"False",1820,"Cats","93.7 x 36.8",FALSE,3448.16
"False",1820,"Narcissus","93.7 x 36.8",FALSE,3448.16
"False",1947,"Flowers","113.7 x 66.0",FALSE,7504.2
"False",1518,"Peacocks","89.5 x 193",FALSE,17273.5
"False",1518,"Flowers","89.5 x 193",FALSE,17273.5
"False",1518,"Trees","89.5 x 193",FALSE,17273.5
"False",1561,"Men","156.8 x 96.2",FALSE,15084.16
"False",1561,"Portraits","156.8 x 96.2",FALSE,15084.16
"False",1561,"Women","156.8 x 96.2",FALSE,15084.16
"False",1561,"Portraits","156.8 x 96.2",FALSE,15084.16
"False",1634,"Men","25.7 x 30.2",FALSE,776.14
"False",1634,"Buddhism","25.7 x 30.2",FALSE,776.14
"False",1550,"Moon","152.4 x 89.7",FALSE,13670.28
"False",1550,"Trees","152.4 x 89.7",FALSE,13670.28
"False",1000,"Bodhisattvas","139.1 x 54.6 x 54.6",TRUE,414679.356
"False",1000,"Buddhism","139.1 x 54.6 x 54.6",TRUE,414679.356
"False",1654,"Rivers","24.8 x 33",FALSE,818.4
"False",1654,"Mountains","24.8 x 33",FALSE,818.4
"False",1654,"Landscapes","24.8 x 33",FALSE,818.4
"False",1654,"Mountains","24.8 x 33",FALSE,818.4
"False",1654,"Landscapes","24.8 x 33",FALSE,818.4
"False",1654,"Mountains","24.8 x 32.4",FALSE,803.52
"False",1654,"Landscapes","24.8 x 32.4",FALSE,803.52
"False",1470,"Landscapes","71.1 x 139.7",FALSE,9932.67
"False",1470,"Trees","71.1 x 139.7",FALSE,9932.67
"False",1470,"Boats","71.1 x 139.7",FALSE,9932.67
"False",1639,"Buffalos","27.3 x 441.3",FALSE,12047.49
"False",1635,"Mountains","32.1 x 1183.6",FALSE,37993.56
"False",1635,"Landscapes","32.1 x 1183.6",FALSE,37993.56
"False",1693,"Bamboo","170.5 x 45.6",FALSE,7774.8
"False",1912,"Women","214.3 x 78.1",FALSE,16736.83
"False",1912,"Trees","214.3 x 78.1",FALSE,16736.83
"False",1350,"Flowers","162.2 x 60",FALSE,9732
"False",1657,"Landscapes","115.9 x 56.2",FALSE,6513.58
"False",1657,"Mountains","115.9 x 56.2",FALSE,6513.58
"False",1726,"Animals","119.4 x 54.6",FALSE,6519.24
"False",1726,"Mountains","119.4 x 54.6",FALSE,6519.24
"False",1726,"Landscapes","119.4 x 54.6",FALSE,6519.24
"False",1692,"Mountains","68.3 x 46.4",FALSE,3169.12
"False",1692,"Landscapes","68.3 x 46.4",FALSE,3169.12
"False",1470,"Poetry","21.0 x 19.7",FALSE,413.7
"False",1470,"Landscapes","21.0 x 19.7",FALSE,413.7
"False",1165,"Bodhisattvas","25.6 x 746.3",FALSE,19105.28
"False",1165,"Buddhism","25.6 x 746.3",FALSE,19105.28
"False",1165,"Buddha","25.6 x 746.3",FALSE,19105.28
"False",1700,"Roses","198.8 x 101",FALSE,20078.8
"False",1700,"Cranes","198.8 x 101",FALSE,20078.8
"False",1700,"Peaches","198.8 x 101",FALSE,20078.8
"False",1700,"Trees","198.8 x 101",FALSE,20078.8
"False",1750,"Birds","116.4 x 50",FALSE,5820
"False",1750,"Flowers","116.4 x 50",FALSE,5820
"False",1627,"Lions","27.3 x 36.5",FALSE,996.45
"False",1627,"Men","27.3 x 36.5",FALSE,996.45
"False",1631,"Lions","18.7 x 24.8",FALSE,463.76
"False",1631,"Trees","18.7 x 24.8",FALSE,463.76
"False",1649,"Lions","43 x 55.3",FALSE,2377.9
"False",1600,"Deities","58.4 x 23.2",FALSE,1354.88
"False",1615,"Deities","33.7 x 17.5",FALSE,589.75
"False",1615,"Buddhism","33.7 x 17.5",FALSE,589.75
"False",1800,"Women","57.7 x 21.9",FALSE,1263.63
"False",1600,"Men","62 x 22",FALSE,1364
"False",1700,"Men","45.5 x 21",FALSE,955.5
"False",1700,"Actors","45.5 x 21",FALSE,955.5
"False",1700,"Falcons","62.2 x 22.9",FALSE,1424.38
"False",1644,"Human Figures","87.2 x 38.3",FALSE,3339.76
"False",1644,"Elephants","87.2 x 38.3",FALSE,3339.76
"False",1478,"Calligraphy","31.1 x 755.7",FALSE,23502.27
"False",1920,"Human Figures","130.8 x 52.1",FALSE,6814.68
